"Cannot delete order #%1. Please try again later.","Cannot delete order #%1. Please try again later."
"Order #%1 has been deleted successfully.","Order #%1 has been deleted successfully."
"Are you sure you want to delete selected order(s) ?","Are you sure you want to delete selected order(s) ?"
"Delete Orders","Delete Orders"
